,id,motivation,share,year,category,overallMotivation,century,name
269,422,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",2,1981,medicine,,20,Roger W. Sperry
264,258,"""for their theories, developed independently, concerning the course of chemical reactions""",2,1981,chemistry,,20,Roald Hoffmann
269,423,"""for their discoveries concerning information processing in the visual system""",4,1981,medicine,,20,David H. Hubel
268,120,"""for his contribution to the development of high-resolution electron spectroscopy""",2,1981,physics,,20,Kai M. Siegbahn
264,257,"""for their theories, developed independently, concerning the course of chemical reactions""",2,1981,chemistry,,20,Kenichi Fukui
268,119,"""for their contribution to the development of laser spectroscopy""",4,1981,physics,,20,Arthur L. Schawlow
268,118,"""for their contribution to the development of laser spectroscopy""",4,1981,physics,,20,Nicolaas Bloembergen
267,515,"""for promoting the fundamental rights of refugees""",1,1981,peace,,20,
265,695,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",1,1981,economics,,20,James Tobin
269,424,"""for their discoveries concerning information processing in the visual system""",4,1981,medicine,,20,Torsten N. Wiesel
266,658,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",1,1981,literature,,20,Elias Canetti
271,694,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",1,1980,economics,,20,Lawrence R. Klein
274,117,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2,1980,physics,,20,Val Fitch
275,421,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,1980,medicine,,20,George D. Snell
270,222,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,1980,chemistry,,20,Frederick Sanger
270,254,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",2,1980,chemistry,,20,Paul Berg
270,255,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,1980,chemistry,,20,Walter Gilbert
272,657,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",1,1980,literature,,20,Czesław Miłosz
274,116,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2,1980,physics,,20,James Cronin
275,419,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,1980,medicine,,20,Baruj Benacerraf
275,420,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,1980,medicine,,20,Jean Dausset
273,541,"""for being a source of inspiration to repressed people, especially in Latin America""",1,1980,peace,,20,Adolfo Pérez Esquivel
280,113,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3,1979,physics,,20,Sheldon Glashow
277,692,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2,1979,economics,,20,Theodore W. Schultz
280,115,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3,1979,physics,,20,Steven Weinberg
276,252,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2,1979,chemistry,,20,Herbert C. Brown
278,655,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",1,1979,literature,,20,Odysseus Elytis
279,540,"""for her work for bringing help to suffering humanity""",1,1979,peace,,20,Anjezë Gonxhe Bojaxhiu
281,418,"""for the development of computer assisted tomography""",2,1979,medicine,,20,Godfrey N. Hounsfield
277,693,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2,1979,economics,,20,Sir Arthur Lewis
276,253,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2,1979,chemistry,,20,Georg Wittig
281,417,"""for the development of computer assisted tomography""",2,1979,medicine,,20,Allan M. Cormack
280,114,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3,1979,physics,,20,Abdus Salam
282,251,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",1,1978,chemistry,,20,Peter Mitchell
283,691,"""for his pioneering research into the decision-making process within economic organizations""",1,1978,economics,,20,Herbert Simon
287,415,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,1978,medicine,,20,Daniel Nathans
286,111,"""for their discovery of cosmic microwave background radiation""",4,1978,physics,,20,Arno Penzias
285,539,"""for jointly having negotiated peace between Egypt and Israel in 1978""",2,1978,peace,,20,Menachem Begin
287,414,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,1978,medicine,,20,Werner Arber
284,654,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",1,1978,literature,,20,Isaac Bashevis Singer
285,538,"""for jointly having negotiated peace between Egypt and Israel in 1978""",2,1978,peace,,20,Anwar al-Sadat
286,110,"""for his basic inventions and discoveries in the area of low-temperature physics""",2,1978,physics,,20,Pyotr Kapitsa
286,112,"""for their discovery of cosmic microwave background radiation""",4,1978,physics,,20,Robert Woodrow Wilson
287,416,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,1978,medicine,,20,Hamilton O. Smith
293,411,"""for their discoveries concerning the peptide hormone production of the brain""",4,1977,medicine,,20,Roger Guillemin
290,653,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",1,1977,literature,,20,Vicente Aleixandre
289,690,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",2,1977,economics,,20,James E. Meade
292,108,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3,1977,physics,,20,Sir Nevill F. Mott
293,412,"""for their discoveries concerning the peptide hormone production of the brain""",4,1977,medicine,,20,Andrew V. Schally
292,109,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3,1977,physics,,20,John H. Van Vleck
292,107,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3,1977,physics,,20,Philip W. Anderson
293,413,"""for the development of radioimmunoassays of peptide hormones""",2,1977,medicine,,20,Rosalyn Yalow
291,537,"""for worldwide respect for human rights""",1,1977,peace,,20,
289,689,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",2,1977,economics,,20,Bertil Ohlin
288,250,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",1,1977,chemistry,,20,Ilya Prigogine
298,106,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",2,1976,physics,,20,Samuel C.C. Ting
299,409,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",2,1976,medicine,,20,Baruch S. Blumberg
298,105,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",2,1976,physics,,20,Burton Richter
297,535,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",2,1976,peace,,20,Betty Williams
296,652,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",1,1976,literature,,20,Saul Bellow
295,688,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",1,1976,economics,,20,Milton Friedman
294,249,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",1,1976,chemistry,,20,William Lipscomb
297,536,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",2,1976,peace,,20,Mairead Corrigan
299,410,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",2,1976,medicine,,20,D. Carleton Gajdusek
302,651,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",1,1975,literature,,20,Eugenio Montale
304,104,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",3,1975,physics,,20,James Rainwater
300,248,"""for his research into the stereochemistry of organic molecules and reactions""",2,1975,chemistry,,20,Vladimir Prelog
301,687,"""for their contributions to the theory of optimum allocation of resources""",2,1975,economics,,20,Tjalling C. Koopmans
304,103,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",3,1975,physics,,20,Ben R. Mottelson
300,247,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",2,1975,chemistry,,20,John Cornforth
305,407,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,1975,medicine,,20,Renato Dulbecco
303,534,"""for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations""",1,1975,peace,,20,Andrei Sakharov
304,102,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",3,1975,physics,,20,Aage N. Bohr
305,406,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,1975,medicine,,20,David Baltimore
305,408,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,1975,medicine,,20,Howard M. Temin
301,686,"""for their contributions to the theory of optimum allocation of resources""",2,1975,economics,,20,Leonid Vitaliyevich Kantorovich
310,100,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",2,1974,physics,,20,Martin Ryle
309,533,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty""",2,1974,peace,,20,Eisaku Satō
310,101,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",2,1974,physics,,20,Antony Hewish
311,405,"""for their discoveries concerning the structural and functional organization of the cell""",3,1974,medicine,,20,George E. Palade
307,685,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",2,1974,economics,,20,Friedrich von Hayek
311,403,"""for their discoveries concerning the structural and functional organization of the cell""",3,1974,medicine,,20,Albert Claude
311,404,"""for their discoveries concerning the structural and functional organization of the cell""",3,1974,medicine,,20,Christian de Duve
309,532,"""for his efforts to secure and develop human rights throughout the world""",2,1974,peace,,20,Seán MacBride
308,649,"""for a narrative art, far-seeing in lands and ages, in the service of freedom""",2,1974,literature,,20,Eyvind Johnson
307,684,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",2,1974,economics,,20,Gunnar Myrdal
306,246,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",1,1974,chemistry,,20,Paul J. Flory
308,650,"""for writings that catch the dewdrop and reflect the cosmos""",2,1974,literature,,20,Harry Martinson
316,97,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",4,1973,physics,,20,Leo Esaki
315,530,"""for jointly having negotiated a cease fire in Vietnam in 1973""",2,1973,peace,,20,Henry Kissinger
314,648,"""for an epic and psychological narrative art which has introduced a new continent into literature""",1,1973,literature,,20,Patrick White
313,683,"""for the development of the input-output method and for its application to important economic problems""",1,1973,economics,,20,Wassily Leontief
312,244,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",2,1973,chemistry,,20,Ernst Otto Fischer
317,402,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,1973,medicine,,20,Nikolaas Tinbergen
316,99,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",2,1973,physics,,20,Brian D. Josephson
317,400,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,1973,medicine,,20,Karl von Frisch
312,245,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",2,1973,chemistry,,20,Geoffrey Wilkinson
316,98,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",4,1973,physics,,20,Ivar Giaever
317,401,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,1973,medicine,,20,Konrad Lorenz
320,647,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",1,1972,literature,,20,Heinrich Böll
322,95,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3,1972,physics,,20,Leon N. Cooper
318,243,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4,1972,chemistry,,20,William H. Stein
322,96,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3,1972,physics,,20,Robert Schrieffer
323,398,"""for their discoveries concerning the chemical structure of antibodies""",2,1972,medicine,,20,Gerald M. Edelman
322,66,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3,1972,physics,,20,John Bardeen
321,,,,1972,peace,"""No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.""",20,
319,681,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",2,1972,economics,,20,John R. Hicks
323,399,"""for their discoveries concerning the chemical structure of antibodies""",2,1972,medicine,,20,Rodney R. Porter
318,241,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",2,1972,chemistry,,20,Christian Anfinsen
319,682,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",2,1972,economics,,20,Kenneth J. Arrow
318,242,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4,1972,chemistry,,20,Stanford Moore
324,240,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",1,1971,chemistry,,20,Gerhard Herzberg
326,645,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",1,1971,literature,,20,Pablo Neruda
327,529,"""for paving the way for a meaningful dialogue between East and West""",1,1971,peace,,20,Willy Brandt
328,93,"""for his invention and development of the holographic method""",1,1971,physics,,20,Dennis Gabor
329,397,"""for his discoveries concerning the mechanisms of the action of hormones""",1,1971,medicine,,20,"Earl W. Sutherland, Jr."
325,680,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",1,1971,economics,,20,Simon Kuznets
334,92,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",2,1970,physics,,20,Louis Néel
334,91,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",2,1970,physics,,20,Hannes Alfvén
333,528,"""for having given a well-founded hope - the green revolution""",1,1970,peace,,20,Norman Borlaug
332,644,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",1,1970,literature,,20,Aleksandr Solzhenitsyn
331,679,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",1,1970,economics,,20,Paul A. Samuelson
335,395,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation""",3,1970,medicine,,20,Ulf von Euler
330,239,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",1,1970,chemistry,,20,Luis Leloir
335,394,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation""",3,1970,medicine,,20,Sir Bernard Katz
335,396,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation""",3,1970,medicine,,20,Julius Axelrod
340,90,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",1,1969,physics,,20,Murray Gell-Mann
336,238,"""for their contributions to the development of the concept of conformation and its application in chemistry""",2,1969,chemistry,,20,Odd Hassel
341,391,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,1969,medicine,,20,Max Delbrück
337,677,"""for having developed and applied dynamic models for the analysis of economic processes""",2,1969,economics,,20,Ragnar Frisch
337,678,"""for having developed and applied dynamic models for the analysis of economic processes""",2,1969,economics,,20,Jan Tinbergen
339,527,"""for creating international legislation insuring certain norms for working conditions in every country""",1,1969,peace,,20,
338,643,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",1,1969,literature,,20,Samuel Beckett
341,393,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,1969,medicine,,20,Salvador E. Luria
336,237,"""for their contributions to the development of the concept of conformation and its application in chemistry""",2,1969,chemistry,,20,Derek Barton
341,392,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,1969,medicine,,20,Alfred D. Hershey
344,526,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",1,1968,peace,,20,René Cassin
346,390,"""for their interpretation of the genetic code and its function in protein synthesis""",3,1968,medicine,,20,Marshall W. Nirenberg
346,388,"""for their interpretation of the genetic code and its function in protein synthesis""",3,1968,medicine,,20,Robert W. Holley
345,89,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",1,1968,physics,,20,Luis Alvarez
342,236,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",1,1968,chemistry,,20,Lars Onsager
343,642,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",1,1968,literature,,20,Yasunari Kawabata
346,389,"""for their interpretation of the genetic code and its function in protein synthesis""",3,1968,medicine,,20,H. Gobind Khorana
350,88,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",1,1967,physics,,20,Hans Bethe
351,386,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,1967,medicine,,20,Keffer Hartline
347,233,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",2,1967,chemistry,,20,Manfred Eigen
347,235,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",4,1967,chemistry,,20,George Porter
351,387,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,1967,medicine,,20,George Wald
348,641,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",1,1967,literature,,20,Miguel Angel Asturias
349,,,,1967,peace,"""No Nobel Prize was awarded this year. 1/3 of the prize money was allocated to the main fund and 2/3 was allocated to the special fund of this prize section.""",20,
351,385,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,1967,medicine,,20,Ragnar Granit
347,234,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",4,1967,chemistry,,20,Ronald G.W. Norrish
355,87,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",1,1966,physics,,20,Alfred Kastler
356,384,"""for his discoveries concerning hormonal treatment of prostatic cancer""",2,1966,medicine,,20,Charles B. Huggins
353,640,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""",2,1966,literature,,20,Nelly Sachs
356,383,"""for his discovery of tumour-inducing viruses""",2,1966,medicine,,20,Peyton Rous
354,,,,1966,peace,"""No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.""",20,
353,639,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",2,1966,literature,,20,Shmuel Agnon
352,232,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",1,1966,chemistry,,20,Robert S. Mulliken
360,84,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3,1965,physics,,20,Sin-Itiro Tomonaga
360,86,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3,1965,physics,,20,Richard P. Feynman
358,638,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",1,1965,literature,,20,Mikhail Sholokhov
357,231,"""for his outstanding achievements in the art of organic synthesis""",1,1965,chemistry,,20,Robert B. Woodward
361,380,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,1965,medicine,,20,François Jacob
361,382,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,1965,medicine,,20,Jacques Monod
361,381,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,1965,medicine,,20,André Lwoff
360,85,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3,1965,physics,,20,Julian Schwinger
359,525,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",1,1965,peace,,20,
366,378,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",2,1964,medicine,,20,Konrad Bloch
365,83,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",4,1964,physics,,20,Aleksandr M. Prokhorov
364,524,"""for his non-violent struggle for civil rights for the Afro-American population""",1,1964,peace,,20,Martin Luther King Jr.
366,379,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",2,1964,medicine,,20,Feodor Lynen
365,82,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",4,1964,physics,,20,Nicolay G. Basov
363,637,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",1,1964,literature,,20,Jean-Paul Sartre
362,230,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",1,1964,chemistry,,20,Dorothy Crowfoot Hodgkin
365,81,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",2,1964,physics,,20,Charles H. Townes
371,375,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,1963,medicine,,20,Sir John Eccles
370,78,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",2,1963,physics,,20,Eugene Wigner
369,482,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",2,1963,peace,,20,
368,635,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",1,1963,literature,,20,Giorgos Seferis
367,228,"""for their discoveries in the field of the chemistry and technology of high polymers""",2,1963,chemistry,,20,Karl Ziegler
370,79,"""for their discoveries concerning nuclear shell structure""",4,1963,physics,,20,Maria Goeppert Mayer
371,376,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,1963,medicine,,20,Alan Hodgkin
371,377,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,1963,medicine,,20,Andrew Huxley
370,80,"""for their discoveries concerning nuclear shell structure""",4,1963,physics,,20,J. Hans D. Jensen
367,229,"""for their discoveries in the field of the chemistry and technology of high polymers""",2,1963,chemistry,,20,Giulio Natta
373,634,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",1,1962,literature,,20,John Steinbeck
376,372,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,1962,medicine,,20,Francis Crick
375,77,"""for his pioneering theories for condensed matter, especially liquid helium""",1,1962,physics,,20,Lev Landau
374,217,"""for his fight against the nuclear arms race between East and West""",1,1962,peace,,20,Linus Pauling
372,227,"""for their studies of the structures of globular proteins""",2,1962,chemistry,,20,John C. Kendrew
372,226,"""for their studies of the structures of globular proteins""",2,1962,chemistry,,20,Max F. Perutz
376,374,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,1962,medicine,,20,Maurice Wilkins
376,373,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,1962,medicine,,20,James Watson
377,225,"""for his research on the carbon dioxide assimilation in plants""",1,1961,chemistry,,20,Melvin Calvin
380,76,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2,1961,physics,,20,Rudolf Mössbauer
378,633,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1,1961,literature,,20,Ivo Andrić
380,75,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",2,1961,physics,,20,Robert Hofstadter
381,371,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1,1961,medicine,,20,Georg von Békésy
379,520,"""for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter""",1,1961,peace,,20,Dag Hammarskjöld
385,74,"""for the invention of the bubble chamber""",1,1960,physics,,20,Donald A. Glaser
386,370,"""for discovery of acquired immunological tolerance""",2,1960,medicine,,20,Peter Medawar
386,369,"""for discovery of acquired immunological tolerance""",2,1960,medicine,,20,Sir Frank Macfarlane Burnet
384,519,"""for his non-violent struggle against apartheid""",1,1960,peace,,20,Albert Lutuli
383,631,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1,1960,literature,,20,Saint-John Perse
382,224,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1,1960,chemistry,,20,Willard F. Libby
390,73,"""for their discovery of the antiproton""",2,1959,physics,,20,Owen Chamberlain
387,223,"""for his discovery and development of the polarographic methods of analysis""",1,1959,chemistry,,20,Jaroslav Heyrovsky
391,367,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2,1959,medicine,,20,Severo Ochoa
388,630,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1,1959,literature,,20,Salvatore Quasimodo
391,368,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2,1959,medicine,,20,Arthur Kornberg
390,72,"""for their discovery of the antiproton""",2,1959,physics,,20,Emilio Segrè
389,518,"""for his longstanding contribution to the cause of disarmament and peace""",1,1959,peace,,20,Philip Noel-Baker
396,365,"""for their discovery that genes act by regulating definite chemical events""",4,1958,medicine,,20,Edward Tatum
393,629,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1,1958,literature,,20,Boris Pasternak
394,517,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",1,1958,peace,,20,Georges Pire
395,70,"""for the discovery and the interpretation of the Cherenkov effect""",3,1958,physics,,20,Pavel A. Cherenkov
396,364,"""for their discovery that genes act by regulating definite chemical events""",4,1958,medicine,,20,George Beadle
396,366,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",2,1958,medicine,,20,Joshua Lederberg
395,721,"""for the discovery and the interpretation of the Cherenkov effect""",3,1958,physics,,20,Il´ja M. Frank
392,222,"""for his work on the structure of proteins, especially that of insulin""",1,1958,chemistry,,20,Frederick Sanger
395,71,"""for the discovery and the interpretation of the Cherenkov effect""",3,1958,physics,,20,Igor Y. Tamm
398,628,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1,1957,literature,,20,Albert Camus
399,516,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",1,1957,peace,,20,Lester Bowles Pearson
400,68,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2,1957,physics,,20,Chen Ning Yang
397,221,"""for his work on nucleotides and nucleotide co-enzymes""",1,1957,chemistry,,20,Lord Todd
400,69,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2,1957,physics,,20,Tsung-Dao Lee
401,363,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1,1957,medicine,,20,Daniel Bovet
406,360,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3,1956,medicine,,20,André F. Cournand
403,627,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1,1956,literature,,20,Juan Ramón Jiménez
406,362,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3,1956,medicine,,20,Dickinson W. Richards
405,65,"""for their researches on semiconductors and their discovery of the transistor effect""",3,1956,physics,,20,William B. Shockley
402,219,"""for their researches into the mechanism of chemical reactions""",2,1956,chemistry,,20,Sir Cyril Hinshelwood
404,,,,1956,peace,"""No Nobel Prize was awarded this year. 1/3 of the prize money was allocated to the main fund and 2/3 was allocated to the special fund of this prize section.""",20,
402,220,"""for their researches into the mechanism of chemical reactions""",2,1956,chemistry,,20,Nikolay Semenov
